Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
51390-001,"China, People's Republic of",Sovereign,Technical Assistance,07/12/2018,"400,000.00",Qinghai,Industry and trade
51391-002,Afghanistan,Sovereign,Technical Assistance,26/10/2018,"225,000.00",Nation-wide,Transport
51392-001,Regional,Sovereign,Technical Assistance,18/12/2017,"225,000.00","Armenia - Nation-wide, Armenia, Armenia; Georgia - Nation-wide, Georgia; Kyrgyz Republic - Nation-wide, Kyrgyzstan; Uzbekistan - Nation-wide, Uzbekistan",Water and other urban infrastructure and services
51394-001,Uzbekistan,Sovereign,Technical Assistance,20/12/2017,"725,000.00",Nation-wide,Public sector management
51397-001,Mongolia,Sovereign,Technical Assistance,27/06/2018,"500,000.00",Nation-wide,Information and communication technology | Public sector management
51401-001,"China, People's Republic of",Sovereign,Technical Assistance,10/10/2018,"560,000.00","Nation-wide, Xi'an",Transport
51402-001,"China, People's Republic of",Sovereign,Technical Assistance,21/11/2018,"400,000.00",Hebei,Transport
51403-001,Mongolia,Sovereign,Technical Assistance,03/09/2018,"400,000.00",Nation-wide,Transport
51406-001,Kazakhstan,Sovereign,Technical Assistance,05/02/2018,"225,000.00",Kostanay,Finance
51412-001,Mongolia,Sovereign,Technical Assistance,07/12/2018,"800,000.00",Nation-wide,Industry and trade
51419-001,"China, People's Republic of",Sovereign,Technical Assistance,30/10/2018,"400,000.00",Nation-wide,Public sector management
51420-001,"China, People's Republic of",Sovereign,Technical Assistance,11/10/2018,"400,000.00",Hebei Handan,Energy
51421-001,"China, People's Republic of",Sovereign,Technical Assistance,31/08/2018,"500,000.00",Maerkang,Energy
51422-001,Mongolia,Sovereign,Technical Assistance,08/06/2020,"800,000.00",,"Agriculture, natural resources and rural development | Industry and trade | Transport"
51423-001,Mongolia,Sovereign,Technical Assistance,05/10/2018,"850,000.00",,"Agriculture, natural resources and rural development"
51425-001,"China, People's Republic of",Sovereign,Technical Assistance,11/02/2019,"800,000.00","Nation-wide, Gansu, Qinghai, Shaanxi","Agriculture, natural resources and rural development"
51428-001,"China, People's Republic of",Sovereign,Technical Assistance,20/08/2018,"400,000.00","Nation-wide, Yangtze River","Agriculture, natural resources and rural development"
51434-002,"China, People's Republic of",Sovereign,Technical Assistance,15/09/2018,"400,000.00",Shangrao,Education | Information and communication technology
51437-001,Tajikistan,Sovereign,Technical Assistance,20/12/2017,"225,000.00",Nation-wide,Public sector management
52013-001,Mongolia,Sovereign,Technical Assistance,03/12/2018,"800,000.00",,Education | Industry and trade | Information and communication technology
52014-001,Regional,Sovereign,Technical Assistance,05/11/2018,"75,000.00",Bangladesh - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Myanmar - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
52015-001,"China, People's Republic of",Sovereign,Technical Assistance,27/08/2018,"750,000.00",Nation-wide,Public sector management
52018-001,Palau,Sovereign,Loan,15/10/2018,"15,000,000.00",Nation-wide,Public sector management
52019-001,Mongolia,Sovereign,Technical Assistance,26/09/2019,0,Nation-wide,"Agriculture, natural resources and rural development | Information and communication technology"
52022-002,Mongolia,Sovereign,Technical Assistance,10/12/2019,0,Nation-wide,"Agriculture, natural resources and rural development"
52024-001,"China, People's Republic of",Sovereign,Technical Assistance,14/05/2018,"600,000.00",Nation-wide,Public sector management
52030-001,Tonga,Sovereign,Grant,25/06/2020,"12,200,000.00",Nation-wide,Health | Public sector management
52041-003,Regional,Sovereign,Technical Assistance,13/12/2018,0,Regional,Energy
52042-002,Tajikistan,Sovereign,Technical Assistance,04/06/2018,"1,000,000.00",Nation-wide,Transport
52043-002,Kyrgyz Republic,Sovereign,Technical Assistance,17/10/2018,"1,050,000.00",Nation-wide,Transport
52049-001,Pakistan,Sovereign,Loan,07/08/2019,"500,000,000.00",Nation-wide,Industry and trade
52049-003,Pakistan,Sovereign,Loan,27/11/2020,"300,000,000.00",Nation-wide,Industry and trade
52050-001,Regional,Sovereign,Technical Assistance,29/10/2018,"750,000.00",Afghanistan - Nation-wide; Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Public sector management
52051-002,Pakistan,Sovereign,Technical Assistance,05/10/2018,"225,000.00",Kuram,"Agriculture, natural resources and rural development"
52062-001,India,Sovereign,Technical Assistance,01/08/2018,"2,000,000.00","Nation-wide, Assam, Bengaluru",Industry and trade | Public sector management | Transport
52069-002,Pakistan,Sovereign,Technical Assistance,17/04/2019,"837,500.00",Nation-wide,Education
52073-001,Nauru,Sovereign,Grant,03/06/2020,"5,000,000.00",Nation-wide,Public sector management
52074-001,Solomon Islands,Sovereign,Grant,26/11/2018,"5,000,000.00",Nation-wide,Public sector management
52075-001,Tonga,Sovereign,Grant,21/02/2018,"1,000,000.00",Nation-wide,Public sector management
52098-001,Fiji,Sovereign,Technical Assistance,26/04/2018,"225,000.00",,Information and communication technology
52099-001,Regional,Sovereign,Technical Assistance,22/06/2018,"2,087,000.00",Afghanistan - Nation-wide; Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services"
52101-001,Regional,Sovereign,Technical Assistance,24/07/2018,"1,950,000.00",Afghanistan - Nation-wide; Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services"
52108-001,Regional,Sovereign,Technical Assistance,26/03/2018,0,Cambodia - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Viet Nam - Nation-wide,Industry and trade
52109-001,Regional,Sovereign,Technical Assistance,12/12/2018,"750,000.00",Regional,Multisector
52110-002,Uzbekistan,Sovereign,Technical Assistance,05/09/2018,"1,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance"
52112-002,Regional,Sovereign,Technical Assistance,28/01/2019,"1,200,000.00",Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Tajikistan - Nation-wide; Uzbekistan - Nation-wide,Energy
52112-003,Regional,Sovereign,Technical Assistance,28/02/2019,"1,800,000.00",Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Tajikistan - Nation-wide; Uzbekistan - Nation-wide,Energy
52112-004,Regional,Sovereign,Technical Assistance,10/10/2019,"500,000.00",Afghanistan - Nation-wide; Turkmenistan - Nation-wide,Energy
52113-001,Regional,Sovereign,Technical Assistance,29/11/2018,"1,200,000.00",Armenia - Nation-wide; Cambodia - Nation-wide; Georgia - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Philippines - Nation-wide; Samoa - Nation-wide; Uzbekistan - Nation-wide,Public sector management
52115-001,Papua New Guinea,Sovereign,Grant,20/03/2018,"1,000,000.00",,Public sector management
52116-001,India,Sovereign,Technical Assistance,26/09/2018,"225,000.00",Uttar Pradesh,"Agriculture, natural resources and rural development"
52123-001,Regional,Sovereign,Technical Assistance,03/09/2018,"3,800,000.00",Bangladesh - Nation-wide; Bhutan - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Myanmar - Nation-wide; Nepal - Nation-wide; Sri Lanka - Nation-wide,Industry and trade
52125-001,"China, People's Republic of",Sovereign,Technical Assistance,20/11/2018,"300,000.00",Guangdong,Energy | Finance | Industry and trade
52129-001,Tonga,Sovereign,Grant,15/06/2018,"6,800,000.00",Nation-wide,Energy
52146-001,Lao People's Democratic Republic,Sovereign,Loan,25/09/2019,"45,000,000.00",Nation-wide,Public sector management
52151-001,Mongolia,Sovereign,Technical Assistance,30/07/2018,"500,000.00",Nation-wide,Public sector management
52153-002,India,Sovereign,Technical Assistance,26/06/2018,"1,000,000.00","Ara, Bihar","Agriculture, natural resources and rural development"
52156-002,Sri Lanka,Sovereign,Technical Assistance,09/11/2018,"1,000,000.00","North Western Province, Province of Uva","Agriculture, natural resources and rural development"
52171-001,Regional,Sovereign,Technical Assistance,21/06/2018,"225,000.00",China - Nation-wide; Mongolia - Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Industry and trade | Transport"
52173-001,Philippines,Sovereign,Loan,13/11/2019,"300,000,000.00",Nation-wide,Public sector management
52173-003,Philippines,Sovereign,Loan,27/08/2021,"400,000,000.00",Nation-wide,Public sector management
52182-001,Uzbekistan,Sovereign,Technical Assistance,14/08/2018,"1,225,000.00",Nation-wide,Energy
52189-002,Regional,Sovereign,Technical Assistance,29/01/2019,"125,000.00",Papua New Guinea - Nation-wide; Vanuatu - Nation-wide,Industry and trade
52190-001,"China, People's Republic of",Sovereign,Technical Assistance,31/08/2018,"700,000.00",Nation-wide,Public sector management
52194-002,"China, People's Republic of",Sovereign,Technical Assistance,15/10/2018,"400,000.00","Nation-wide, Guizhou","Agriculture, natural resources and rural development"
52194-003,"China, People's Republic of",Sovereign,Technical Assistance,23/11/2018,"350,000.00",China,"Agriculture, natural resources and rural development"
52194-004,"China, People's Republic of",Sovereign,Technical Assistance,06/12/2018,"400,000.00","Nation-wide, Chongqing","Agriculture, natural resources and rural development"
52194-005,"China, People's Republic of",Sovereign,Technical Assistance,03/12/2018,"350,000.00",China,"Agriculture, natural resources and rural development"
52197-001,Mongolia,Sovereign,Technical Assistance,03/12/2018,"500,000.00",Nation-wide,Public sector management
52201-002,Papua New Guinea,Sovereign,Technical Assistance,16/11/2018,"1,500,000.00","Nation-wide, Jacksons International Airport, Madang Airport, Tokua Airport",Transport
52206-002,Regional,Sovereign,Technical Assistance,27/11/2018,"1,200,000.00",Regional,Multisector
52216-002,Regional,Sovereign,Technical Assistance,05/11/2018,"1,000,000.00",Regional,Multisector
52216-003,Regional,Sovereign,Technical Assistance,08/11/2019,"1,000,000.00",Regional,Multisector
52216-004,Regional,Sovereign,Technical Assistance,05/11/2020,"1,000,000.00",Regional,Multisector
52218-001,Indonesia,Sovereign,Loan,09/12/2020,"500,000,000.00",Nation-wide,Finance
52225-001,Kyrgyz Republic,Sovereign,Grant,16/09/2019,"50,000,000.00",Nation-wide,Finance | Industry and trade | Public sector management
52225-003,Kyrgyz Republic,Sovereign,Grant | Loan,23/09/2021,"80,000,000.00",Nation-wide,Public sector management
52225-004,Kyrgyz Republic,Sovereign,Grant | Loan,23/09/2022,"50,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Education | Public sector management"
52233-002,Fiji,Sovereign,Technical Assistance,05/04/2019,0,Nadi River,Water and other urban infrastructure and services
52237-001,"China, People's Republic of",Sovereign,Technical Assistance,11/06/2019,"400,000.00",Gansu,Education | Information and communication technology
52242-001,Vanuatu,Sovereign,Grant,20/09/2018,"500,000.00","Nation-wide, Aoba",Health
52249-003,"China, People's Republic of",Sovereign,Technical Assistance,07/12/2018,"500,000.00",Ningbo,Energy
52256-002,Kyrgyz Republic,Sovereign,Technical Assistance,06/11/2018,"700,000.00",,"Agriculture, natural resources and rural development"
52256-006,Kyrgyz Republic,Sovereign,Grant,17/08/2020,"315,829.64",,Water and other urban infrastructure and services
52285-001,Mongolia,Sovereign,Technical Assistance,02/05/2019,"650,000.00",Nation-wide,Information and communication technology | Public sector management
52291-001,Timor-Leste,Sovereign,Technical Assistance,11/12/2018,"225,000.00",Nation-wide,Public sector management
52293-001,Kazakhstan,Sovereign,Technical Assistance,25/09/2018,"225,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance"
52300-002,Uzbekistan,Sovereign,Technical Assistance,22/11/2018,"750,000.00",,Energy
52303-001,Mongolia,Sovereign,Grant,08/06/2020,0,"Darhan-Uul Aymag, Govi-Altay Aymag, Ovorhangay, Suhbaatar Aymag",Water and other urban infrastructure and services
52304-001,Regional,Sovereign,Technical Assistance,17/06/2019,0,Regional,Water and other urban infrastructure and services
52307-002,Regional,Sovereign,Technical Assistance,18/12/2018,"650,000.00",Regional,"Agriculture, natural resources and rural development | Education | Energy | Health | Transport | Water and other urban infrastructure and services"
52312-001,Kazakhstan,Sovereign,Technical Assistance,26/11/2018,"225,000.00",Nation-wide,Finance
52312-003,Kazakhstan,Sovereign,Technical Assistance,27/08/2020,"225,000.00",Nation-wide,Finance
52314-001,Mongolia,Sovereign,Technical Assistance,28/06/2019,0,Nation-wide,Public sector management
52315-001,Tajikistan,Sovereign,Technical Assistance,29/10/2018,"450,000.00",Nation-wide,Finance | Public sector management
52319-001,Myanmar,Sovereign,Technical Assistance,20/12/2019,"800,000.00",Nation-wide,Public sector management
52320-001,Timor-Leste,Sovereign,Technical Assistance,21/12/2018,"225,000.00",Nation-wide,Transport
52322-003,Uzbekistan,Sovereign,Technical Assistance,27/12/2019,"225,000.00",Nation-wide,Energy
52323-001,Pakistan,Sovereign,Technical Assistance,07/12/2018,"700,000.00",Nation-wide,Energy
52324-001,Indonesia,Sovereign,Loan,20/11/2018,"500,000,000.00",Nation-wide,Public sector management
52330-001,Mongolia,Sovereign,Technical Assistance,28/06/2019,"500,000.00",Nation-wide,Public sector management
52333-001,Indonesia,Sovereign,Grant,08/10/2018,"3,000,000.00",Palu,Public sector management
52336-001,Pakistan,Sovereign,Technical Assistance,18/12/2018,"225,000.00",Nation-wide,Public sector management
52337-002,Kyrgyz Republic,Sovereign,Technical Assistance,11/11/2019,"760,000.00",Nation-wide,Education
52345-001,Regional,Sovereign,Technical Assistance,13/12/2018,"225,000.00",Regional,Health
52349-001,"China, People's Republic of",Sovereign,Technical Assistance,19/06/2019,"425,000.00",,Finance | Water and other urban infrastructure and services
52351-001,Uzbekistan,Sovereign,Technical Assistance,13/12/2018,"225,000.00",Nation-wide,Public sector management
52352-001,Armenia,Sovereign,Technical Assistance,21/12/2018,"200,000.00",Nation-wide,Industry and trade
52353-001,Armenia,Sovereign,Technical Assistance,26/08/2019,"1,000,000.00",Nation-wide,Transport
53004-001,Mongolia,Sovereign,Technical Assistance,26/09/2019,"500,000.00",Nation-wide,Public sector management
53028-001,Mongolia,Sovereign,Loan | Technical Assistance,05/12/2019,"160,750,000.00",Ulaanbaatar,Energy | Health | Public sector management | Transport | Water and other urban infrastructure and services
53029-001,Mongolia,Sovereign,Technical Assistance,28/06/2019,"600,000.00","Eastern Aymag, Hentiy Aymag, Suhbaatar Aymag","Agriculture, natural resources and rural development | Public sector management"
53035-001,Mongolia,Sovereign,Technical Assistance,02/12/2019,0,Nation-wide,"Agriculture, natural resources and rural development"
53036-001,Mongolia,Sovereign,Technical Assistance,25/10/2019,"400,000.00",Nation-wide,"Agriculture, natural resources and rural development | Industry and trade"
53038-002,Mongolia,Sovereign,Technical Assistance,30/07/2019,"750,000.00",,"Agriculture, natural resources and rural development"
53047-001,Philippines,Sovereign,Loan,26/05/2020,"400,000,000.00",Nation-wide,Finance
53047-003,Philippines,Sovereign,Loan,30/05/2022,"400,000,000.00",Nation-wide,Finance
53054-001,Mongolia,Sovereign,Technical Assistance,02/12/2019,0,Nation-wide,Energy
53069-002,Kazakhstan,Sovereign,Technical Assistance,28/07/2020,"500,000.00",Nation-wide,"Agriculture, natural resources and rural development"
53073-001,India,Sovereign,Technical Assistance,21/02/2019,"225,000.00",Nation-wide,Information and communication technology
53076-001,Regional,Sovereign,Technical Assistance,27/09/2019,"500,000.00",Regional,Public sector management
53081-001,Regional,Sovereign,Technical Assistance,27/08/2019,"500,000.00",Regional,Finance | Public sector management
53086-001,"China, People's Republic of",Sovereign,Technical Assistance,04/10/2019,"900,000.00","Nation-wide, Heilongjiang, Qinghai, Shandong","Agriculture, natural resources and rural development"
53087-001,"China, People's Republic of",Sovereign,Technical Assistance,19/09/2019,"600,000.00",Nation-wide,"Agriculture, natural resources and rural development"
53096-001,Niue,Sovereign,Technical Assistance,26/04/2019,"225,000.00",Nation-wide,Public sector management
53101-001,"China, People's Republic of",Sovereign,Technical Assistance,27/11/2019,"195,000.00",Nation-wide,Education
53109-002,Tajikistan,Sovereign,Technical Assistance,19/11/2019,"1,000,000.00","Kumsangir, Sovkhoz Yavan","Agriculture, natural resources and rural development"
53111-001,Regional,Sovereign,Technical Assistance,15/07/2019,"950,000.00",Indonesia - East Nusa Tenggara; Timor-Leste - Dili,"Agriculture, natural resources and rural development | Industry and trade | Transport"
53112-001,Regional,Sovereign,Technical Assistance,20/12/2019,0,"Cambodia - Nation-wide, Cambodia; India - Nation-wide, India; Thailand - Nation-wide, Thailand; Viet Nam - Nation-wide, Vietnam",Industry and trade
53140-001,Regional,Sovereign,Technical Assistance,07/03/2019,0,China - Nation-wide; Philippines - Nation-wide,Finance
53142-001,Regional,Sovereign,Technical Assistance,23/04/2019,0,Regional,Public sector management
53161-002,Uzbekistan,Sovereign,Technical Assistance,16/07/2019,"850,000.00",,Finance
53165-001,Pakistan,Sovereign,Loan,06/12/2019,"300,000,000.00",Nation-wide,Energy
53165-002,Pakistan,Sovereign,Loan,10/12/2021,"300,000,000.00",Nation-wide,Energy
53168-001,"China, People's Republic of",Sovereign,Technical Assistance,25/04/2019,"135,000.00",Nation-wide,"Agriculture, natural resources and rural development"
53175-001,Regional,Sovereign,Technical Assistance,08/07/2019,0,Bangladesh - Nation-wide; India - Nation-wide; Maldives - Nation-wide; Myanmar - Nation-wide; Sri Lanka - Nation-wide,Industry and trade
53178-002,Georgia,Sovereign,Technical Assistance,02/07/2019,"200,000.00","Argveta, Shorapani",Transport
53189-001,India,Sovereign,Loan,08/12/2020,"10,000,000.00","Bilaspur, Hamirpur, Kangra, Mandi","Agriculture, natural resources and rural development"
53193-001,Sri Lanka,Sovereign,Technical Assistance,06/06/2019,"225,000.00",Nation-wide,Energy
53209-001,Regional,Sovereign,Technical Assistance,15/11/2019,"225,000.00",Regional,Energy
53211-001,Indonesia,Sovereign,Loan,29/10/2021,"500,000,000.00",Nation-wide,Industry and trade | Public sector management
53221-002,Pakistan,Sovereign,Technical Assistance,15/08/2019,"500,000.00",Nation-wide,Finance
53221-003,Pakistan,Sovereign,Loan,22/03/2022,"300,000,000.00",Nation-wide,Finance
53247-001,Pakistan,Sovereign,Loan,06/12/2019,"1,000,000,000.00",Nation-wide,Public sector management
53248-001,Armenia,Sovereign,Loan,14/11/2019,"40,000,000.00",Nation-wide,Finance | Public sector management
53259-001,Regional,Sovereign,Technical Assistance,02/12/2019,"207,000.00",Armenia - Nation-wide; Kyrgyz Republic - Nation-wide; Uzbekistan - Nation-wide,Public sector management
53285-001,India,Sovereign,Technical Assistance,23/10/2019,"225,000.00",Delhi,Health
53287-001,Regional,Sovereign,Technical Assistance,03/07/2019,"225,000.00",Regional,Public sector management
53299-001,Kazakhstan,Sovereign,Technical Assistance,09/08/2019,"225,000.00",Nation-wide,Energy
53300-001,Regional,Sovereign,Technical Assistance,04/03/2020,0,"Brunei Darussalam - Nation-wide; Cambodia - Nation-wide; China - Nation-wide; Indonesia - Nation-wide; Korea, Republic of - Nation-wide; Lao People's Democratic Republic - Nation-wide; Malaysia - Nation-wide; Myanmar - Nation-wide; Philippines - Nation-wide; Singapore - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide",Finance
53307-002,Bhutan,Sovereign,Technical Assistance,24/09/2019,"225,000.00",Nation-wide,Finance
53311-001,Georgia,Sovereign,Technical Assistance,07/08/2019,"150,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Finance | Industry and trade | Transport"
53312-002,Uzbekistan,Sovereign,Technical Assistance,04/11/2019,"1,200,000.00","Denov, Derbent, Termez",Transport
53316-001,Regional,Sovereign,Technical Assistance,15/11/2019,"330,000.00",Regional,Public sector management
53327-001,Kazakhstan,Sovereign,Technical Assistance,29/07/2019,"225,000.00",Nation-wide,Public sector management
53330-001,Kazakhstan,Sovereign,Technical Assistance,09/01/2020,0,Nation-wide,Public sector management
53341-001,Kazakhstan,Sovereign,Technical Assistance,14/09/2020,"300,000.00",Nation-wide,Energy
53344-002,Regional,Sovereign,Technical Assistance,17/12/2019,"800,000.00",Regional,Public sector management
53344-003,Regional,Sovereign,Technical Assistance,08/10/2021,"800,000.00",Regional,Public sector management
53350-001,Regional,Sovereign,Technical Assistance,11/10/2019,0,Cambodia - Nation-wide; Indonesia - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Philippines - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,Public sector management
53353-001,Philippines,Sovereign,Loan,12/08/2020,"400,000,000.00",Nation-wide,"Agriculture, natural resources and rural development"
53353-002,Philippines,Sovereign,Loan,26/01/2023,"500,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance | Public sector management"
53355-001,India,Sovereign,Technical Assistance,17/10/2019,"225,000.00",Nation-wide,Health
53357-001,Regional,Sovereign,Technical Assistance,30/10/2019,"1,500,000.00",Regional,Finance
53360-001,Kazakhstan,Sovereign,Technical Assistance,03/10/2019,"225,000.00",Nation-wide,Energy
53367-001,Regional,Sovereign,Technical Assistance,18/10/2019,"500,000.00",China - Nation-wide; Indonesia - Nation-wide; Philippines - Nation-wide,Public sector management
53369-001,Regional,Sovereign,Technical Assistance,16/12/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development"
53381-001,Regional,Sovereign,Technical Assistance,31/10/2019,"225,000.00",Afghanistan - Nation-wide; Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Information and communication technology | Water and other urban infrastructure and services
53404-001,Mongolia,Sovereign,Technical Assistance,04/12/2019,"225,000.00",Nation-wide,Public sector management
53408-001,Kyrgyz Republic,Sovereign,Technical Assistance,05/12/2019,"225,000.00",Nation-wide,Public sector management
53424-001,Papua New Guinea,Sovereign,Loan,02/12/2020,"100,000,000.00",Nation-wide,Public sector management
53424-002,Papua New Guinea,Sovereign,Grant | Loan,09/12/2021,"150,000,000.00",Nation-wide,Public sector management
53424-003,Papua New Guinea,Sovereign,Grant | Loan,02/12/2022,"250,000,000.00",Nation-wide,Public sector management
53426-001,Uzbekistan,Sovereign,Technical Assistance,10/12/2019,"225,000.00",Nation-wide,Industry and trade
54001-001,India,Sovereign,Loan | Technical Assistance,19/11/2020,"50,350,000.00",West Bengal,Public sector management
54026-006,"China, People's Republic of",Sovereign,Technical Assistance,31/12/2020,"258,000.00","Nation-wide, Inner Mongolia","Agriculture, natural resources and rural development"
54033-001,Pakistan,Sovereign,Technical Assistance,02/03/2020,"200,000.00",Nation-wide,Health
54039-001,"China, People's Republic of",Sovereign,Technical Assistance,26/11/2020,"300,000.00","Nation-wide, Beijing, Beijing, Hebei, Tianjin",Health
54047-002,Bangladesh,Sovereign,Technical Assistance,06/08/2020,"800,000.00","Bandarban, Khagrachhari, Rangamati","Agriculture, natural resources and rural development"
54054-001,Samoa,Sovereign,Grant,11/11/2022,"7,500,000.00",Nation-wide,Finance | Public sector management
54091-001,Kazakhstan,Sovereign,Technical Assistance,26/04/2021,"225,000.00","Nation-wide, Kazakhstan",Industry and trade
54102-001,Mongolia,Sovereign,Technical Assistance,02/03/2020,"225,000.00",Nation-wide,Health
54111-002,Regional,Sovereign,Technical Assistance,15/04/2020,"300,000.00",Afghanistan - Nation-wide; Armenia - Nation-wide; Azerbaijan - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Multisector
54118-002,"China, People's Republic of",Sovereign,Technical Assistance,30/07/2020,"1,300,000.00",Nation-wide,Health
54133-001,Philippines,Sovereign,Grant,13/03/2020,"3,000,000.00",Nation-wide,Health
54135-001,Regional,Sovereign,Grant,31/03/2020,"1,530,000.00","Marshall Islands - Nation-wide; Micronesia, Federated States of - Nation-wide; Nauru - Nation-wide; Tuvalu - Nation-wide",Health
54135-002,Tonga,Sovereign,Grant,06/04/2020,"470,000.00",Nation-wide,Health
54135-004,Regional,Sovereign,Grant,02/10/2020,"3,180,000.00",Fiji - Nation-wide; Nauru - Nation-wide; Niue - Nation-wide,Health
54135-005,Tonga,Sovereign,Grant,04/03/2022,"1,030,000.00",Nation-wide,Health
54138-001,Philippines,Sovereign,Loan,23/04/2020,"1,500,000,000.00",Nation-wide,Health | Public sector management
54139-001,Indonesia,Sovereign,Loan,23/04/2020,"1,500,000,000.00",Nation-wide,Health | Public sector management
54140-001,"China, People's Republic of",Sovereign,Technical Assistance,25/09/2020,"225,000.00",Dabie Mountains,"Agriculture, natural resources and rural development"
54145-001,Mongolia,Sovereign,Grant,25/03/2020,"1,000,000.00",Nation-wide,Health
54145-002,Mongolia,Sovereign,Grant,03/09/2020,"1,500,000.00",Nation-wide,Health
54150-001,Indonesia,Sovereign,Grant,20/03/2020,"3,000,000.00",Nation-wide,Health
54151-002,Palau,Sovereign,Technical Assistance,13/05/2020,"225,000.00",Nation-wide,Energy
54151-003,Palau,Sovereign,Loan,29/07/2022,"5,000,000.00",Nation-wide,Energy | Water and other urban infrastructure and services
54155-001,Maldives,Sovereign,Grant,25/03/2020,"500,000.00",Nation-wide,Health
54156-001,Tajikistan,Sovereign,Grant,18/06/2020,"50,000,000.00",Nation-wide,Health | Public sector management
54158-002,Philippines,Sovereign,Technical Assistance,26/03/2020,"5,000,000.00",National Capital Region,Public sector management
54160-001,Uzbekistan,Sovereign,Loan,25/06/2020,"500,000,000.00",Nation-wide,Health | Industry and trade | Public sector management
54161-001,Kyrgyz Republic,Sovereign,Technical Assistance,05/10/2020,"225,000.00",Nation-wide,Public sector management
54169-001,Kyrgyz Republic,Sovereign,Grant | Loan,04/05/2020,"50,000,000.00",Nation-wide,Health | Public sector management
54174-001,Mongolia,Sovereign,Loan,12/05/2020,"100,000,000.00",Nation-wide,Health | Public sector management
54175-001,Kyrgyz Republic,Sovereign,Grant | Loan,16/06/2020,"20,000,000.00",Nation-wide,Health
54177-001,Thailand,Sovereign,Loan,26/06/2020,"1,500,000,000.00",Nation-wide,Health | Public sector management
54178-001,Solomon Islands,Sovereign,Grant | Loan,24/06/2020,"20,000,000.00",Nation-wide,Health | Public sector management
54179-001,Vanuatu,Sovereign,Grant,03/12/2020,"16,925,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance | Health | Public sector management"
54183-001,Bhutan,Sovereign,Loan,04/05/2020,"20,000,000.00",Nation-wide,Public sector management
54184-001,Nepal,Sovereign,Loan,26/05/2020,"250,000,000.00",Nation-wide,Health | Public sector management
54188-001,Kazakhstan,Sovereign,Loan,25/06/2020,"1,000,000,000.00",Nation-wide,Health | Public sector management
54189-001,Maldives,Sovereign,Grant | Loan | Technical Assistance,25/06/2020,"50,500,000.00",Nation-wide,Health | Public sector management
54191-001,Georgia,Sovereign,Loan,28/05/2020,"100,000,000.00",Nation-wide,Health | Public sector management
54192-001,Afghanistan,Sovereign,Grant,02/12/2020,"100,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Health | Industry and trade | Public sector management"
54193-001,Pakistan,Sovereign,Loan,10/06/2020,"500,000,000.00",Nation-wide,Health | Public sector management
54195-001,Cambodia,Sovereign,Loan,08/07/2020,"250,000,000.00",Nation-wide,Health | Public sector management
